r,c,lon,lat,lst
8.0,18.0,88.29152542372881,22.659322033898306,34.6
8.0,19.0,88.29661016949153,22.659322033898306,33.9
8.0,20.0,88.30169491525425,22.659322033898306,33.2
8.0,21.0,88.30677966101695,22.659322033898306,38.0
8.0,22.0,88.31186440677966,22.659322033898306,33.6
8.0,23.0,88.31694915254238,22.659322033898306,40.9
8.0,24.0,88.32203389830508,22.659322033898306,37.6
8.0,25.0,88.3271186440678,22.659322033898306,37.3
8.0,26.0,88.33220338983051,22.659322033898306,37.2
8.0,27.0,88.33728813559323,22.659322033898306,36.6
8.0,28.0,88.34237288135593,22.659322033898306,36.8
